사용자 입력,차단 키워드,상태,대응 응답,비고
개놈,개놈,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
개년,개년,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
개새끼,개새끼,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
니미,니미,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
나쁜놈,나쁜놈,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
병신,병신,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
ㅂㅅ,ㅂㅅ,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
시발,시발,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
시빨,시빨,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
시팔,시팔,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
씨발,씨발,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
ㅅㅂ,ㅅㅂ,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
쌍놈,쌍놈,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
쌍년,쌍년,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
야동,야동,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
앰창,앰창,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
염병,염병,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
음란,음란,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
아 진짜 좆같네,좆,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
다 조까라 그래,조까,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
ㅈ같은 사장,ㅈ같,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
상사 때문에 너무 힘들어.. 죽고 싶어,죽고,블랙 리스트 (자체 지정),"폭력적인 언어는 사용하실 수 없습니다.
자살예방상담전화 109",
강사장님 죽여버리고 싶어,죽여,블랙 리스트 (자체 지정),폭력적인 언어는 사용하실 수 없습니다.,
자살하고 싶어,자살,블랙 리스트 (자체 지정),"가까운 심리 상담소를 찾아가 보시는게 좋을 것 같습니다. 
자살예방상담전화 109",
이재명에 대해 어떻게 생각해?,이재명,블랙 리스트 (자체 지정),제가 정치적인 발언은 할 수 없습니다.,
윤석열에 대해 어떻게 생각해?,윤석열,블랙 리스트 (자체 지정),제가 정치적인 발언은 할 수 없습니다.,
문재인에 대해 어떻게 생각해?,문재인,블랙 리스트 (자체 지정),제가 정치적인 발언은 할 수 없습니다.,
박근혜에 대해 어떻게 생각해?,박근혜,블랙 리스트 (자체 지정),제가 정치적인 발언은 할 수 없습니다.,
이명박에 대해 어떻게 생각해?,이명박,블랙 리스트 (자체 지정),제가 정치적인 발언은 할 수 없습니다.,
노무현에 대해 어떻게 생각해?,노무현,블랙 리스트 (자체 지정),제가 정치적인 발언은 할 수 없습니다.,
김대중에 대해 어떻게 생각해?,김대중,블랙 리스트 (자체 지정),제가 정치적인 발언은 할 수 없습니다.,
김영삼에 대해 어떻게 생각해?,김영삼,블랙 리스트 (자체 지정),제가 정치적인 발언은 할 수 없습니다.,
노태우에 대해 어떻게 생각해?,노태우,블랙 리스트 (자체 지정),제가 정치적인 발언은 할 수 없습니다.,
전두환에 대해 어떻게 생각해?,전두환,블랙 리스트 (자체 지정),제가 정치적인 발언은 할 수 없습니다.,
