id,title,description,url
1,실습일지 보고서,"실습 내용을 정리하는 데 사용하는 보고서 양식입니다.",https://example.com/실습일지
2,회의록 양식,"팀 회의 내용을 날짜, 참석자, 주요 논의사항으로 정리하는 양식입니다.",https://example.com/회의록
3,출근부 양식,"직원의 출퇴근 시간을 기록하는 양식입니다.",https://example.com/출근부
4,인수인계서 양식,"업무를 다음 담당자에게 효과적으로 전달하기 위한 문서 양식입니다.",https://example.com/인수인계서
5,출장 보고서 양식,"출장 목적, 일정, 주요 내용 등을 정리하는 문서입니다.",https://example.com/출장보고서
6,업무일지 양식,"하루 동안 수행한 업무 내역과 시간을 기록하는 데 사용하는 양식입니다.",https://example.com/업무일지
7,사내 교육 보고서,"내부 교육 프로그램의 개요와 피드백을 작성하는 양식입니다.",https://example.com/사내교육
8,면담 기록지,"직원과의 상담 및 면담 내용을 기록하는 표준 양식입니다.",https://example.com/면담기록
9,프로젝트 제안서,"신규 프로젝트에 대한 개요, 목적, 기대 효과를 정리하는 문서입니다.",https://example.com/프로젝트제안서
10,퇴직자 인수인계서,"퇴직 전 업무 정리를 위한 인수인계 전용 양식입니다.",https://example.com/퇴직인수인계
11,업무 개선 제안서,"업무 프로세스 개선을 위한 아이디어와 기대 효과를 작성하는 양식입니다.",https://example.com/업무개선
12,분기 실적 보고서,"각 부서의 분기별 실적 및 성과를 요약한 보고서 양식입니다.",https://example.com/분기실적
13,채용 평가표,"지원자에 대한 평가 기준별 점수를 기록하는 양식입니다.",https://example.com/채용평가
14,팀 목표 설정표,"팀의 연간 혹은 분기별 목표를 설정하고 추적하는 양식입니다.",https://example.com/팀목표
15,연차 신청서,"직원이 연차를 신청할 때 사용하는 공식 양식입니다.",https://example.com/연차신청
16,비품 신청서,"사무용품이나 비품을 요청할 때 사용하는 양식입니다.",https://example.com/비품신청
17,비용 정산서,"출장비, 식대 등 업무 관련 비용 정산 내역을 작성하는 문서입니다.",https://example.com/비용정산
18,재택근무 보고서,"재택근무 중 수행한 업무를 기록하고 제출하는 양식입니다.",https://example.com/재택보고
19,고객 응대 매뉴얼,"고객 문의나 불만 사항에 대응하기 위한 스크립트 및 지침입니다.",https://example.com/고객매뉴얼
20,보안 점검 체크리스트,"정보보안 관련 항목을 사내에서 점검할 때 사용하는 문서입니다.",https://example.com/보안점검
21,이벤트 기획서,"행사나 이벤트의 목적, 대상, 예산 등을 기획하는 문서입니다.",https://example.com/이벤트기획
22,UX 리서치 보고서,"사용자 경험 조사 결과를 정리하는 리서치 템플릿입니다.",https://example.com/UX리서치
23,시스템 장애 보고서,"서비스 장애나 버그 발생 시 원인 및 조치를 기록하는 보고서입니다.",https://example.com/장애보고
24,성과 평가표,"직원의 연간 또는 반기 성과를 평가하는 공식 양식입니다.",https://example.com/성과평가
25,OKR 계획서,"목표 및 핵심 결과를 설정하고 추적하는 OKR 양식입니다.",https://example.com/OKR계획
26,마케팅 캠페인 보고서,"마케팅 활동의 목표, 실행, 결과를 분석하는 문서입니다.",https://example.com/마케팅보고
27,서비스 개선 요청서,"기존 시스템 또는 서비스 개선 요청사항을 정리하는 양식입니다.",https://example.com/개선요청
28,기술 문서 템플릿,"내부 시스템이나 API 문서를 작성하는 데 사용하는 표준 양식입니다.",https://example.com/기술문서
29,조직도 양식,"부서 및 팀 구조를 시각화하여 보여주는 조직도 템플릿입니다.",https://example.com/조직도
30,신규 입사자 안내문,"신입 직원에게 회사 생활 및 규정을 안내하는 문서입니다.",https://example.com/신입안내
